57;44;10.06.2019 16:40;Замена маховика
17;14;16.02.2019 09:40;Замена жидкости ГУР
75;49;21.06.2019 14:50;Развал-схождение
62;8;14.10.2019 12:00;Кузовной ремонт
46;17;22.04.2019 11:30;Замена подшипника передней ступицы
87;22;22.06.2019 13:00;Диагностика рулевого редуктора
20;48;21.04.2019 12:40;Замена свечей
43;27;05.10.2019 18:30;Ремонт бензонасоса
49;45;05.12.2019 18:10;Ремонт стартера
32;45;17.09.2019 11:30;Ремонт стартера
30;2;07.07.2019 09:30;Замена кулисы АКПП
32;48;28.05.2019 11:10;Замена свечей
65;21;01.05.2019 10:20;Замена подшипника компрессора кондиционера
65;13;15.04.2019 13:30;Замена масла АКПП
11;43;16.10.2019 18:20;Замена троса сцепления
34;8;09.07.2019 18:50;Кузовной ремонт
23;27;23.03.2019 16:40;Ремонт бензонасоса
33;4;23.05.2019 11:40;Ремонт компрессора кондиционера
39;23;30.07.2019 12:10;Замена фильтров
86;3;24.08.2019 11:20;Замена тормозной жидкости
76;18;23.12.2019 15:30;Ремонт двигателя
30;18;02.08.2019 18:50;Ремонт двигателя
56;39;15.02.2019 17:30;Ремонт сцепления
75;32;28.12.2019 17:10;Установка сигнализации
18;11;14.04.2019 15:00;Замена заднего сальника АКПП
20;9;18.12.2019 10:30;Замена подшипника задней ступицы
61;12;30.07.2019 10:10;Замена охлаждающей жидкости
19;32;15.06.2019 09:30;Установка сигнализации
1;14;28.07.2019 12:50;Замена жидкости ГУР
56;28;12.07.2019 19:30;Антибактериальная обработка кондиционера
44;4;02.07.2019 15:30;Ремонт компрессора кондиционера
53;48;09.09.2019 17:40;Замена свечей
55;13;29.01.2019 16:10;Замена масла АКПП
11;33;19.01.2019 11:50;Ремонт кронштейна глушителя
72;35;05.07.2019 13:40;Диагностика подвески
1;26;10.10.2019 13:40;Замена масла заднего редуктора (моста)
67;40;07.12.2019 17:00;Диагностика трансмиссии
19;31;05.06.2019 10:50;Ремонт карданного вала
84;44;05.04.2019 10:10;Замена маховика
73;13;24.06.2019 14:10;Замена масла АКПП
18;32;05.09.2019 19:30;Установка сигнализации
33;7;27.11.2019 09:00;Замена лямбда зонда
17;30;21.02.2019 08:20;Ремонт и замена катализатора
75;46;26.11.2019 10:30;Снятие/установка форсунок
86;47;26.04.2019 10:20;Замена ремня привода ГУР
7;47;23.11.2019 14:30;Замена ремня привода ГУР
17;33;25.08.2019 08:50;Ремонт кронштейна глушителя
46;37;09.05.2019 10:00;Замена тормозных колодок
18;29;08.08.2019 17:20;Замена ремня кондиционера
68;17;30.12.2019 08:10;Замена подшипника передней ступицы
76;47;05.09.2019 14:10;Замена ремня привода ГУР
62;26;24.12.2019 09:30;Замена масла заднего редуктора (моста)
68;24;06.04.2019 11:50;Ремонт глушителя
12;35;12.08.2019 11:50;Диагностика подвески
23;21;12.08.2019 15:40;Замена подшипника компрессора кондиционера
55;26;29.07.2019 10:30;Замена масла заднего редуктора (моста)
26;38;14.04.2019 14:20;Покраска
53;34;19.03.2019 09:40;Замена трубки кондиционера
62;23;15.12.2019 19:50;Замена фильтров
75;41;30.11.2019 18:00;Диагностика выхлопной системы автомобиля
46;1;14.11.2019 15:00;Замена сальника привода
61;5;14.06.2019 18:30;Ремонт автоэлектрики
30;32;22.03.2019 15:20;Установка сигнализации
42;40;09.10.2019 18:30;Диагностика трансмиссии
33;14;16.03.2019 10:20;Замена жидкости ГУР
72;28;16.12.2019 19:40;Антибактериальная обработка кондиционера
56;12;15.08.2019 18:30;Замена охлаждающей жидкости
12;42;20.09.2019 08:20;Диагностика инжектора
17;27;15.04.2019 11:50;Ремонт бензонасоса
8;17;12.08.2019 08:50;Замена подшипника передней ступицы
8;13;04.03.2019 11:30;Замена масла АКПП
17;30;24.02.2019 13:50;Ремонт и замена катализатора
87;41;06.12.2019 09:40;Диагностика выхлопной системы автомобиля
20;47;05.08.2019 10:10;Замена ремня привода ГУР
8;25;19.05.2019 16:50;Чистка форсунок ультразвуком
34;5;30.12.2019 14:30;Ремонт автоэлектрики
73;17;28.06.2019 10:10;Замена подшипника передней ступицы
26;29;05.11.2019 12:10;Замена ремня кондиционера
56;24;19.09.2019 16:10;Ремонт глушителя
30;11;26.02.2019 17:40;Замена заднего сальника АКПП
34;49;13.09.2019 10:10;Развал-схождение
11;48;14.10.2019 19:40;Замена свечей
72;35;11.04.2019 16:20;Диагностика подвески
58;49;06.03.2019 12:10;Развал-схождение
42;12;21.08.2019 17:20;Замена охлаждающей жидкости
49;48;29.06.2019 17:20;Замена свечей
97;46;04.02.2019 19:50;Снятие/установка форсунок
34;12;09.07.2019 16:50;Замена охлаждающей жидкости
61;48;16.06.2019 12:00;Замена свечей
84;5;27.11.2019 13:30;Ремонт автоэлектрики
7;21;27.05.2019 08:00;Замена подшипника компрессора кондиционера
84;48;15.12.2019 14:30;Замена свечей
11;1;17.10.2019 19:00;Замена сальника привода
33;43;15.11.2019 15:40;Замена троса сцепления
1;2;24.08.2019 17:00;Замена кулисы АКПП
72;31;27.05.2019 14:20;Ремонт карданного вала
55;11;19.08.2019 17:50;Замена заднего сальника АКПП
87;1;08.08.2019 19:00;Замена рулевой тяги
67;4;24.02.2019 13:00;Ремонт компрессора кондиционера
18;39;19.12.2019 15:00;Ремонт сцепления
